state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
AL,Anadia/AL,2700201,0,Janssen,F,15-19,17507,1
AL,Anadia/AL,2700201,0,Janssen,F,20-24,17507,5
AL,Anadia/AL,2700201,0,Janssen,F,25-29,17507,1
AL,Anadia/AL,2700201,0,Janssen,F,30-34,17507,8
AL,Anadia/AL,2700201,0,Janssen,F,35-39,17507,47
AL,Anadia/AL,2700201,0,Janssen,F,40-44,17507,15
AL,Anadia/AL,2700201,0,Janssen,F,45-49,17507,6
AL,Anadia/AL,2700201,0,Janssen,F,50-54,17507,3
AL,Anadia/AL,2700201,0,Janssen,F,55-59,17507,1
AL,Anadia/AL,2700201,0,Janssen,F,60-64,17507,2
AL,Anadia/AL,2700201,0,Janssen,F,70-74,17507,1
AL,Anadia/AL,2700201,0,Janssen,F,75-79,17507,1
AL,Anadia/AL,2700201,0,Janssen,F,80-84,17507,1
AL,Anadia/AL,2700201,0,Janssen,M,15-19,17507,2
AL,Anadia/AL,2700201,0,Janssen,M,20-24,17507,3
AL,Anadia/AL,2700201,0,Janssen,M,25-29,17507,2
AL,Anadia/AL,2700201,0,Janssen,M,30-34,17507,3
AL,Anadia/AL,2700201,0,Janssen,M,35-39,17507,35
AL,Anadia/AL,2700201,0,Janssen,M,40-44,17507,9
AL,Anadia/AL,2700201,0,Janssen,M,45-49,17507,8
AL,Anadia/AL,2700201,0,Janssen,M,50-54,17507,1
AL,Anadia/AL,2700201,0,Janssen,M,55-59,17507,5
AL,Anadia/AL,2700201,0,Janssen,M,60-64,17507,1
AL,Anadia/AL,2700201,0,Janssen,M,70-74,17507,1
AL,Anadia/AL,2700201,1,AstraZeneca,F,15-19,17507,15
AL,Anadia/AL,2700201,1,AstraZeneca,F,20-24,17507,390
AL,Anadia/AL,2700201,1,AstraZeneca,F,25-29,17507,142
AL,Anadia/AL,2700201,1,AstraZeneca,F,30-34,17507,323
AL,Anadia/AL,2700201,1,AstraZeneca,F,35-39,17507,210
AL,Anadia/AL,2700201,1,AstraZeneca,F,40-44,17507,200
AL,Anadia/AL,2700201,1,AstraZeneca,F,45-49,17507,400
AL,Anadia/AL,2700201,1,AstraZeneca,F,50-54,17507,409
AL,Anadia/AL,2700201,1,AstraZeneca,F,55-59,17507,381
AL,Anadia/AL,2700201,1,AstraZeneca,F,60-64,17507,151
AL,Anadia/AL,2700201,1,AstraZeneca,F,65-69,17507,71
AL,Anadia/AL,2700201,1,AstraZeneca,F,70-74,17507,30
AL,Anadia/AL,2700201,1,AstraZeneca,F,75-79,17507,59
AL,Anadia/AL,2700201,1,AstraZeneca,F,80-84,17507,76
AL,Anadia/AL,2700201,1,AstraZeneca,F,85-89,17507,51
AL,Anadia/AL,2700201,1,AstraZeneca,F,90+,17507,25
AL,Anadia/AL,2700201,1,AstraZeneca,M,15-19,17507,18
AL,Anadia/AL,2700201,1,AstraZeneca,M,20-24,17507,374
AL,Anadia/AL,2700201,1,AstraZeneca,M,25-29,17507,161
AL,Anadia/AL,2700201,1,AstraZeneca,M,30-34,17507,295
AL,Anadia/AL,2700201,1,AstraZeneca,M,35-39,17507,215
AL,Anadia/AL,2700201,1,AstraZeneca,M,40-44,17507,211
AL,Anadia/AL,2700201,1,AstraZeneca,M,45-49,17507,308
AL,Anadia/AL,2700201,1,AstraZeneca,M,50-54,17507,325
AL,Anadia/AL,2700201,1,AstraZeneca,M,55-59,17507,345
AL,Anadia/AL,2700201,1,AstraZeneca,M,60-64,17507,128
AL,Anadia/AL,2700201,1,AstraZeneca,M,65-69,17507,80
AL,Anadia/AL,2700201,1,AstraZeneca,M,70-74,17507,39
AL,Anadia/AL,2700201,1,AstraZeneca,M,75-79,17507,40
AL,Anadia/AL,2700201,1,AstraZeneca,M,80-84,17507,34
AL,Anadia/AL,2700201,1,AstraZeneca,M,85-89,17507,32
AL,Anadia/AL,2700201,1,AstraZeneca,M,90+,17507,18
AL,Anadia/AL,2700201,1,Pfizer/BioNTech,F,10-14,17507,384
AL,Anadia/AL,2700201,1,Pfizer/BioNTech,F,15-19,17507,314
AL,Anadia/AL,2700201,1,Pfizer/BioNTech,F,20-24,17507,1
AL,Anadia/AL,2700201,1,Pfizer/BioNTech,F,25-29,17507,2
AL,Anadia/AL,2700201,1,Pfizer/BioNTech,F,35-39,17507,3
AL,Anadia/AL,2700201,1,Pfizer/BioNTech,F,5-9,17507,5
AL,Anadia/AL,2700201,1,Pfizer/BioNTech,F,55-59,17507,1
