state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
AM,Alvarães/AM,1300029,0,Janssen,F,15-19,16396,5
AM,Alvarães/AM,1300029,0,Janssen,F,20-24,16396,27
AM,Alvarães/AM,1300029,0,Janssen,F,25-29,16396,22
AM,Alvarães/AM,1300029,0,Janssen,F,30-34,16396,13
AM,Alvarães/AM,1300029,0,Janssen,F,35-39,16396,10
AM,Alvarães/AM,1300029,0,Janssen,F,40-44,16396,5
AM,Alvarães/AM,1300029,0,Janssen,F,45-49,16396,3
AM,Alvarães/AM,1300029,0,Janssen,F,50-54,16396,2
AM,Alvarães/AM,1300029,0,Janssen,F,55-59,16396,2
AM,Alvarães/AM,1300029,0,Janssen,F,75-79,16396,1
AM,Alvarães/AM,1300029,0,Janssen,F,85-89,16396,1
AM,Alvarães/AM,1300029,0,Janssen,M,15-19,16396,12
AM,Alvarães/AM,1300029,0,Janssen,M,20-24,16396,22
AM,Alvarães/AM,1300029,0,Janssen,M,25-29,16396,24
AM,Alvarães/AM,1300029,0,Janssen,M,30-34,16396,10
AM,Alvarães/AM,1300029,0,Janssen,M,35-39,16396,10
AM,Alvarães/AM,1300029,0,Janssen,M,40-44,16396,2
AM,Alvarães/AM,1300029,0,Janssen,M,45-49,16396,10
AM,Alvarães/AM,1300029,0,Janssen,M,50-54,16396,2
AM,Alvarães/AM,1300029,0,Janssen,M,55-59,16396,5
AM,Alvarães/AM,1300029,0,Janssen,M,65-69,16396,2
AM,Alvarães/AM,1300029,1,AstraZeneca,F,15-19,16396,134
AM,Alvarães/AM,1300029,1,AstraZeneca,F,20-24,16396,305
AM,Alvarães/AM,1300029,1,AstraZeneca,F,25-29,16396,355
AM,Alvarães/AM,1300029,1,AstraZeneca,F,30-34,16396,297
AM,Alvarães/AM,1300029,1,AstraZeneca,F,35-39,16396,274
AM,Alvarães/AM,1300029,1,AstraZeneca,F,40-44,16396,238
AM,Alvarães/AM,1300029,1,AstraZeneca,F,45-49,16396,189
AM,Alvarães/AM,1300029,1,AstraZeneca,F,50-54,16396,149
AM,Alvarães/AM,1300029,1,AstraZeneca,F,55-59,16396,71
AM,Alvarães/AM,1300029,1,AstraZeneca,F,60-64,16396,67
AM,Alvarães/AM,1300029,1,AstraZeneca,F,65-69,16396,60
AM,Alvarães/AM,1300029,1,AstraZeneca,F,70-74,16396,40
AM,Alvarães/AM,1300029,1,AstraZeneca,F,75-79,16396,53
