state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
AP,Amapá/AP,1600105,0,Janssen,F,15-19,9265,47
AP,Amapá/AP,1600105,0,Janssen,F,20-24,9265,3
AP,Amapá/AP,1600105,0,Janssen,F,30-34,9265,1
AP,Amapá/AP,1600105,0,Janssen,M,15-19,9265,39
AP,Amapá/AP,1600105,0,Janssen,M,20-24,9265,5
AP,Amapá/AP,1600105,0,Janssen,M,25-29,9265,2
AP,Amapá/AP,1600105,0,Janssen,M,40-44,9265,1
AP,Amapá/AP,1600105,1,AstraZeneca,F,15-19,9265,55
AP,Amapá/AP,1600105,1,AstraZeneca,F,20-24,9265,211
AP,Amapá/AP,1600105,1,AstraZeneca,F,25-29,9265,154
AP,Amapá/AP,1600105,1,AstraZeneca,F,30-34,9265,168
AP,Amapá/AP,1600105,1,AstraZeneca,F,35-39,9265,185
AP,Amapá/AP,1600105,1,AstraZeneca,F,40-44,9265,155
AP,Amapá/AP,1600105,1,AstraZeneca,F,45-49,9265,140
AP,Amapá/AP,1600105,1,AstraZeneca,F,50-54,9265,137
AP,Amapá/AP,1600105,1,AstraZeneca,F,55-59,9265,111
AP,Amapá/AP,1600105,1,AstraZeneca,F,60-64,9265,42
AP,Amapá/AP,1600105,1,AstraZeneca,F,65-69,9265,3
AP,Amapá/AP,1600105,1,AstraZeneca,F,70-74,9265,1
AP,Amapá/AP,1600105,1,AstraZeneca,F,75-79,9265,3
AP,Amapá/AP,1600105,1,AstraZeneca,F,80-84,9265,14
AP,Amapá/AP,1600105,1,AstraZeneca,M,15-19,9265,53
AP,Amapá/AP,1600105,1,AstraZeneca,M,20-24,9265,172
AP,Amapá/AP,1600105,1,AstraZeneca,M,25-29,9265,155
AP,Amapá/AP,1600105,1,AstraZeneca,M,30-34,9265,191
AP,Amapá/AP,1600105,1,AstraZeneca,M,35-39,9265,177
AP,Amapá/AP,1600105,1,AstraZeneca,M,40-44,9265,157
AP,Amapá/AP,1600105,1,AstraZeneca,M,45-49,9265,176
AP,Amapá/AP,1600105,1,AstraZeneca,M,50-54,9265,148
AP,Amapá/AP,1600105,1,AstraZeneca,M,55-59,9265,117
AP,Amapá/AP,1600105,1,AstraZeneca,M,60-64,9265,48
AP,Amapá/AP,1600105,1,AstraZeneca,M,65-69,9265,7
AP,Amapá/AP,1600105,1,AstraZeneca,M,70-74,9265,4
AP,Amapá/AP,1600105,1,AstraZeneca,M,75-79,9265,2
AP,Amapá/AP,1600105,1,AstraZeneca,M,80-84,9265,6
AP,Amapá/AP,1600105,1,Janssen,M,60-64,9265,1
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,10-14,9265,274
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,15-19,9265,285
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,20-24,9265,133
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,25-29,9265,101
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,30-34,9265,84
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,35-39,9265,85
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,40-44,9265,52
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,45-49,9265,30
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,5-9,9265,13
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,50-54,9265,23
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,55-59,9265,18
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,60-64,9265,3
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,65-69,9265,2
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,70-74,9265,2
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,F,75-79,9265,1
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,M,10-14,9265,249
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,M,15-19,9265,243
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,M,20-24,9265,98
AP,Amapá/AP,1600105,1,Pfizer/BioNTech,M,25-29,9265,76
