state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,15-19,30326,1
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,20-24,30326,10
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,25-29,30326,9
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,30-34,30326,237
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,35-39,30326,99
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,40-44,30326,57
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,45-49,30326,15
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,5-9,30326,1
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,50-54,30326,16
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,55-59,30326,8
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,60-64,30326,2
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,65-69,30326,3
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,70-74,30326,3
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,75-79,30326,1
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,80-84,30326,1
ES,Afonso Cláudio/ES,3200102,0,Janssen,F,85-89,30326,1
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,15-19,30326,1
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,20-24,30326,11
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,25-29,30326,19
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,30-34,30326,298
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,35-39,30326,131
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,40-44,30326,98
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,45-49,30326,32
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,50-54,30326,26
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,55-59,30326,10
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,60-64,30326,3
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,65-69,30326,2
ES,Afonso Cláudio/ES,3200102,0,Janssen,M,80-84,30326,1
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,15-19,30326,28
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,20-24,30326,118
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,25-29,30326,276
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,30-34,30326,376
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,35-39,30326,450
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,40-44,30326,522
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,45-49,30326,800
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,50-54,30326,742
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,55-59,30326,843
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,60-64,30326,481
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,65-69,30326,47
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,70-74,30326,10
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,75-79,30326,20
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,80-84,30326,131
ES,Afonso Cláudio/ES,3200102,1,AstraZeneca,F,85-89,30326,16
