state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
MS,Alcinópolis/MS,5000252,0,Janssen,F,20-24,5489,1
MS,Alcinópolis/MS,5000252,0,Janssen,F,25-29,5489,48
MS,Alcinópolis/MS,5000252,0,Janssen,F,30-34,5489,28
MS,Alcinópolis/MS,5000252,0,Janssen,F,35-39,5489,35
MS,Alcinópolis/MS,5000252,0,Janssen,F,40-44,5489,13
MS,Alcinópolis/MS,5000252,0,Janssen,F,45-49,5489,6
MS,Alcinópolis/MS,5000252,0,Janssen,F,50-54,5489,3
MS,Alcinópolis/MS,5000252,0,Janssen,F,55-59,5489,3
MS,Alcinópolis/MS,5000252,0,Janssen,F,60-64,5489,1
MS,Alcinópolis/MS,5000252,0,Janssen,F,75-79,5489,1
MS,Alcinópolis/MS,5000252,0,Janssen,M,15-19,5489,1
MS,Alcinópolis/MS,5000252,0,Janssen,M,20-24,5489,4
MS,Alcinópolis/MS,5000252,0,Janssen,M,25-29,5489,31
MS,Alcinópolis/MS,5000252,0,Janssen,M,30-34,5489,38
MS,Alcinópolis/MS,5000252,0,Janssen,M,35-39,5489,69
MS,Alcinópolis/MS,5000252,0,Janssen,M,40-44,5489,32
MS,Alcinópolis/MS,5000252,0,Janssen,M,45-49,5489,8
MS,Alcinópolis/MS,5000252,0,Janssen,M,50-54,5489,13
MS,Alcinópolis/MS,5000252,0,Janssen,M,55-59,5489,3
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,15-19,5489,19
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,20-24,5489,38
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,25-29,5489,42
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,30-34,5489,76
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,35-39,5489,76
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,40-44,5489,88
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,45-49,5489,108
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,50-54,5489,114
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,55-59,5489,110
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,60-64,5489,76
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,65-69,5489,9
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,70-74,5489,2
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,75-79,5489,3
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,80-84,5489,12
MS,Alcinópolis/MS,5000252,1,AstraZeneca,F,85-89,5489,1
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,15-19,5489,23
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,20-24,5489,34
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,25-29,5489,52
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,30-34,5489,65
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,35-39,5489,108
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,40-44,5489,74
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,45-49,5489,111
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,50-54,5489,120
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,55-59,5489,124
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,60-64,5489,94
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,65-69,5489,30
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,70-74,5489,4
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,75-79,5489,3
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,80-84,5489,12
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,85-89,5489,4
MS,Alcinópolis/MS,5000252,1,AstraZeneca,M,90+,5489,1
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,10-14,5489,110
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,15-19,5489,158
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,20-24,5489,96
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,25-29,5489,88
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,30-34,5489,88
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,35-39,5489,71
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,40-44,5489,87
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,45-49,5489,44
MS,Alcinópolis/MS,5000252,1,Pfizer/BioNTech,F,50-54,5489,26
