state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
MT,Acorizal/MT,5100102,0,Janssen,F,35-39,5309,24
MT,Acorizal/MT,5100102,0,Janssen,F,40-44,5309,26
MT,Acorizal/MT,5100102,0,Janssen,F,45-49,5309,5
MT,Acorizal/MT,5100102,0,Janssen,F,50-54,5309,2
MT,Acorizal/MT,5100102,0,Janssen,F,55-59,5309,2
MT,Acorizal/MT,5100102,0,Janssen,F,60-64,5309,1
MT,Acorizal/MT,5100102,0,Janssen,M,35-39,5309,14
MT,Acorizal/MT,5100102,0,Janssen,M,40-44,5309,20
MT,Acorizal/MT,5100102,0,Janssen,M,45-49,5309,10
MT,Acorizal/MT,5100102,0,Janssen,M,50-54,5309,3
MT,Acorizal/MT,5100102,0,Janssen,M,55-59,5309,11
MT,Acorizal/MT,5100102,0,Janssen,M,60-64,5309,1
MT,Acorizal/MT,5100102,0,Janssen,M,65-69,5309,1
MT,Acorizal/MT,5100102,1,AstraZeneca,F,15-19,5309,4
MT,Acorizal/MT,5100102,1,AstraZeneca,F,20-24,5309,10
MT,Acorizal/MT,5100102,1,AstraZeneca,F,25-29,5309,28
MT,Acorizal/MT,5100102,1,AstraZeneca,F,30-34,5309,73
MT,Acorizal/MT,5100102,1,AstraZeneca,F,35-39,5309,109
MT,Acorizal/MT,5100102,1,AstraZeneca,F,40-44,5309,99
MT,Acorizal/MT,5100102,1,AstraZeneca,F,45-49,5309,120
MT,Acorizal/MT,5100102,1,AstraZeneca,F,50-54,5309,88
MT,Acorizal/MT,5100102,1,AstraZeneca,F,55-59,5309,92
MT,Acorizal/MT,5100102,1,AstraZeneca,F,60-64,5309,133
MT,Acorizal/MT,5100102,1,AstraZeneca,F,65-69,5309,98
MT,Acorizal/MT,5100102,1,AstraZeneca,F,70-74,5309,6
MT,Acorizal/MT,5100102,1,AstraZeneca,F,75-79,5309,3
MT,Acorizal/MT,5100102,1,AstraZeneca,F,80-84,5309,2
MT,Acorizal/MT,5100102,1,AstraZeneca,F,85-89,5309,17
MT,Acorizal/MT,5100102,1,AstraZeneca,F,90+,5309,2
MT,Acorizal/MT,5100102,1,AstraZeneca,M,15-19,5309,6
MT,Acorizal/MT,5100102,1,AstraZeneca,M,20-24,5309,31
MT,Acorizal/MT,5100102,1,AstraZeneca,M,25-29,5309,45
MT,Acorizal/MT,5100102,1,AstraZeneca,M,30-34,5309,80
MT,Acorizal/MT,5100102,1,AstraZeneca,M,35-39,5309,103
MT,Acorizal/MT,5100102,1,AstraZeneca,M,40-44,5309,111
MT,Acorizal/MT,5100102,1,AstraZeneca,M,45-49,5309,117
MT,Acorizal/MT,5100102,1,AstraZeneca,M,50-54,5309,60
MT,Acorizal/MT,5100102,1,AstraZeneca,M,55-59,5309,65
MT,Acorizal/MT,5100102,1,AstraZeneca,M,60-64,5309,176
MT,Acorizal/MT,5100102,1,AstraZeneca,M,65-69,5309,110
MT,Acorizal/MT,5100102,1,AstraZeneca,M,70-74,5309,9
MT,Acorizal/MT,5100102,1,AstraZeneca,M,75-79,5309,2
MT,Acorizal/MT,5100102,1,AstraZeneca,M,80-84,5309,2
MT,Acorizal/MT,5100102,1,AstraZeneca,M,85-89,5309,13
MT,Acorizal/MT,5100102,1,AstraZeneca,M,90+,5309,4
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,10-14,5309,122
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,15-19,5309,148
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,20-24,5309,102
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,25-29,5309,123
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,30-34,5309,83
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,35-39,5309,64
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,40-44,5309,41
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,45-49,5309,17
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,50-54,5309,48
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,55-59,5309,28
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,60-64,5309,2
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,65-69,5309,1
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,F,70-74,5309,1
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,10-14,5309,119
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,15-19,5309,140
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,20-24,5309,66
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,25-29,5309,84
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,30-34,5309,48
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,35-39,5309,59
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,40-44,5309,63
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,45-49,5309,28
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,50-54,5309,79
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,55-59,5309,62
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,60-64,5309,9
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,65-69,5309,1
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech,M,75-79,5309,1
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech - Pediátrica,F,0-4,5309,33
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech - Pediátrica,F,10-14,5309,16
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech - Pediátrica,F,5-9,5309,127
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech - Pediátrica,M,0-4,5309,53
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech - Pediátrica,M,10-14,5309,26
MT,Acorizal/MT,5100102,1,Pfizer/BioNTech - Pediátrica,M,5-9,5309,140
MT,Acorizal/MT,5100102,1,Sinovac,F,0-4,5309,45
MT,Acorizal/MT,5100102,1,Sinovac,F,10-14,5309,57
MT,Acorizal/MT,5100102,1,Sinovac,F,15-19,5309,26
MT,Acorizal/MT,5100102,1,Sinovac,F,20-24,5309,48
MT,Acorizal/MT,5100102,1,Sinovac,F,25-29,5309,33
MT,Acorizal/MT,5100102,1,Sinovac,F,30-34,5309,60
MT,Acorizal/MT,5100102,1,Sinovac,F,35-39,5309,31
MT,Acorizal/MT,5100102,1,Sinovac,F,40-44,5309,22
MT,Acorizal/MT,5100102,1,Sinovac,F,45-49,5309,20
MT,Acorizal/MT,5100102,1,Sinovac,F,5-9,5309,61
MT,Acorizal/MT,5100102,1,Sinovac,F,50-54,5309,8
MT,Acorizal/MT,5100102,1,Sinovac,F,55-59,5309,13
MT,Acorizal/MT,5100102,1,Sinovac,F,60-64,5309,4
MT,Acorizal/MT,5100102,1,Sinovac,F,65-69,5309,29
MT,Acorizal/MT,5100102,1,Sinovac,F,70-74,5309,103
MT,Acorizal/MT,5100102,1,Sinovac,F,75-79,5309,65
MT,Acorizal/MT,5100102,1,Sinovac,F,80-84,5309,37
MT,Acorizal/MT,5100102,1,Sinovac,F,85-89,5309,5
MT,Acorizal/MT,5100102,1,Sinovac,F,90+,5309,17
MT,Acorizal/MT,5100102,1,Sinovac,M,0-4,5309,58
MT,Acorizal/MT,5100102,1,Sinovac,M,10-14,5309,54
MT,Acorizal/MT,5100102,1,Sinovac,M,15-19,5309,35
MT,Acorizal/MT,5100102,1,Sinovac,M,20-24,5309,65
MT,Acorizal/MT,5100102,1,Sinovac,M,25-29,5309,36
MT,Acorizal/MT,5100102,1,Sinovac,M,30-34,5309,42
MT,Acorizal/MT,5100102,1,Sinovac,M,35-39,5309,48
MT,Acorizal/MT,5100102,1,Sinovac,M,40-44,5309,39
MT,Acorizal/MT,5100102,1,Sinovac,M,45-49,5309,16
MT,Acorizal/MT,5100102,1,Sinovac,M,5-9,5309,49
MT,Acorizal/MT,5100102,1,Sinovac,M,50-54,5309,18
MT,Acorizal/MT,5100102,1,Sinovac,M,55-59,5309,50
MT,Acorizal/MT,5100102,1,Sinovac,M,60-64,5309,4
MT,Acorizal/MT,5100102,1,Sinovac,M,65-69,5309,34
MT,Acorizal/MT,5100102,1,Sinovac,M,70-74,5309,130
MT,Acorizal/MT,5100102,1,Sinovac,M,75-79,5309,83
MT,Acorizal/MT,5100102,1,Sinovac,M,80-84,5309,51
MT,Acorizal/MT,5100102,1,Sinovac,M,85-89,5309,9
MT,Acorizal/MT,5100102,1,Sinovac,M,90+,5309,13
MT,Acorizal/MT,5100102,2,AstraZeneca,F,15-19,5309,4
MT,Acorizal/MT,5100102,2,AstraZeneca,F,20-24,5309,12
MT,Acorizal/MT,5100102,2,AstraZeneca,F,25-29,5309,25
MT,Acorizal/MT,5100102,2,AstraZeneca,F,30-34,5309,72
MT,Acorizal/MT,5100102,2,AstraZeneca,F,35-39,5309,100
MT,Acorizal/MT,5100102,2,AstraZeneca,F,40-44,5309,102
MT,Acorizal/MT,5100102,2,AstraZeneca,F,45-49,5309,118
MT,Acorizal/MT,5100102,2,AstraZeneca,F,50-54,5309,83
MT,Acorizal/MT,5100102,2,AstraZeneca,F,55-59,5309,97
MT,Acorizal/MT,5100102,2,AstraZeneca,F,60-64,5309,132
MT,Acorizal/MT,5100102,2,AstraZeneca,F,65-69,5309,93
MT,Acorizal/MT,5100102,2,AstraZeneca,F,70-74,5309,11
MT,Acorizal/MT,5100102,2,AstraZeneca,F,75-79,5309,4
MT,Acorizal/MT,5100102,2,AstraZeneca,F,80-84,5309,2
MT,Acorizal/MT,5100102,2,AstraZeneca,F,85-89,5309,15
MT,Acorizal/MT,5100102,2,AstraZeneca,F,90+,5309,3
MT,Acorizal/MT,5100102,2,AstraZeneca,M,15-19,5309,5
MT,Acorizal/MT,5100102,2,AstraZeneca,M,20-24,5309,31
MT,Acorizal/MT,5100102,2,AstraZeneca,M,25-29,5309,50
MT,Acorizal/MT,5100102,2,AstraZeneca,M,30-34,5309,78
MT,Acorizal/MT,5100102,2,AstraZeneca,M,35-39,5309,91
MT,Acorizal/MT,5100102,2,AstraZeneca,M,40-44,5309,110
MT,Acorizal/MT,5100102,2,AstraZeneca,M,45-49,5309,113
MT,Acorizal/MT,5100102,2,AstraZeneca,M,50-54,5309,70
MT,Acorizal/MT,5100102,2,AstraZeneca,M,55-59,5309,66
MT,Acorizal/MT,5100102,2,AstraZeneca,M,60-64,5309,166
MT,Acorizal/MT,5100102,2,AstraZeneca,M,65-69,5309,112
MT,Acorizal/MT,5100102,2,AstraZeneca,M,70-74,5309,12
MT,Acorizal/MT,5100102,2,AstraZeneca,M,75-79,5309,1
MT,Acorizal/MT,5100102,2,AstraZeneca,M,80-84,5309,3
MT,Acorizal/MT,5100102,2,AstraZeneca,M,85-89,5309,12
MT,Acorizal/MT,5100102,2,AstraZeneca,M,90+,5309,4
MT,Acorizal/MT,5100102,2,Janssen,F,40-44,5309,2
MT,Acorizal/MT,5100102,2,Janssen,F,50-54,5309,1
MT,Acorizal/MT,5100102,2,Janssen,F,75-79,5309,1
MT,Acorizal/MT,5100102,2,Janssen,F,80-84,5309,7
MT,Acorizal/MT,5100102,2,Janssen,F,85-89,5309,3
MT,Acorizal/MT,5100102,2,Janssen,F,90+,5309,5
MT,Acorizal/MT,5100102,2,Janssen,M,20-24,5309,1
MT,Acorizal/MT,5100102,2,Janssen,M,30-34,5309,1
MT,Acorizal/MT,5100102,2,Janssen,M,80-84,5309,6
MT,Acorizal/MT,5100102,2,Janssen,M,85-89,5309,4
MT,Acorizal/MT,5100102,2,Janssen,M,90+,5309,1
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,10-14,5309,93
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,15-19,5309,150
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,20-24,5309,95
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,25-29,5309,111
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,30-34,5309,82
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,35-39,5309,61
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,40-44,5309,40
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,45-49,5309,17
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,50-54,5309,43
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,55-59,5309,27
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,60-64,5309,6
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,65-69,5309,1
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,F,70-74,5309,1
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,10-14,5309,103
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,15-19,5309,134
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,20-24,5309,62
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,25-29,5309,85
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,30-34,5309,47
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,35-39,5309,55
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,40-44,5309,59
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,45-49,5309,29
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,5-9,5309,1
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,50-54,5309,80
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,55-59,5309,60
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,60-64,5309,11
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech,M,65-69,5309,2
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech - Pediátrica,F,0-4,5309,12
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech - Pediátrica,F,10-14,5309,18
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech - Pediátrica,F,5-9,5309,82
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech - Pediátrica,M,0-4,5309,16
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech - Pediátrica,M,10-14,5309,21
MT,Acorizal/MT,5100102,2,Pfizer/BioNTech - Pediátrica,M,5-9,5309,96
MT,Acorizal/MT,5100102,2,Sinovac,F,0-4,5309,35
MT,Acorizal/MT,5100102,2,Sinovac,F,10-14,5309,51
MT,Acorizal/MT,5100102,2,Sinovac,F,15-19,5309,23
