state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
PA,Abaetetuba/PA,1500107,0,Janssen,F,0-4,160439,1
PA,Abaetetuba/PA,1500107,0,Janssen,F,10-14,160439,1
PA,Abaetetuba/PA,1500107,0,Janssen,F,15-19,160439,103
PA,Abaetetuba/PA,1500107,0,Janssen,F,20-24,160439,180
PA,Abaetetuba/PA,1500107,0,Janssen,F,25-29,160439,170
PA,Abaetetuba/PA,1500107,0,Janssen,F,30-34,160439,130
PA,Abaetetuba/PA,1500107,0,Janssen,F,35-39,160439,125
PA,Abaetetuba/PA,1500107,0,Janssen,F,40-44,160439,109
PA,Abaetetuba/PA,1500107,0,Janssen,F,45-49,160439,72
PA,Abaetetuba/PA,1500107,0,Janssen,F,5-9,160439,2
PA,Abaetetuba/PA,1500107,0,Janssen,F,50-54,160439,53
PA,Abaetetuba/PA,1500107,0,Janssen,F,55-59,160439,47
PA,Abaetetuba/PA,1500107,0,Janssen,F,60-64,160439,14
PA,Abaetetuba/PA,1500107,0,Janssen,F,65-69,160439,13
PA,Abaetetuba/PA,1500107,0,Janssen,F,70-74,160439,11
PA,Abaetetuba/PA,1500107,0,Janssen,F,75-79,160439,4
PA,Abaetetuba/PA,1500107,0,Janssen,F,80-84,160439,3
PA,Abaetetuba/PA,1500107,0,Janssen,F,85-89,160439,2
PA,Abaetetuba/PA,1500107,0,Janssen,F,90+,160439,4
PA,Abaetetuba/PA,1500107,0,Janssen,M,15-19,160439,102
PA,Abaetetuba/PA,1500107,0,Janssen,M,20-24,160439,231
PA,Abaetetuba/PA,1500107,0,Janssen,M,25-29,160439,254
PA,Abaetetuba/PA,1500107,0,Janssen,M,30-34,160439,180
PA,Abaetetuba/PA,1500107,0,Janssen,M,35-39,160439,153
PA,Abaetetuba/PA,1500107,0,Janssen,M,40-44,160439,133
PA,Abaetetuba/PA,1500107,0,Janssen,M,45-49,160439,94
PA,Abaetetuba/PA,1500107,0,Janssen,M,50-54,160439,71
PA,Abaetetuba/PA,1500107,0,Janssen,M,55-59,160439,49
PA,Abaetetuba/PA,1500107,0,Janssen,M,60-64,160439,19
PA,Abaetetuba/PA,1500107,0,Janssen,M,65-69,160439,11
PA,Abaetetuba/PA,1500107,0,Janssen,M,70-74,160439,6
PA,Abaetetuba/PA,1500107,0,Janssen,M,75-79,160439,8
PA,Abaetetuba/PA,1500107,0,Janssen,M,80-84,160439,3
PA,Abaetetuba/PA,1500107,0,Janssen,M,85-89,160439,2
PA,Abaetetuba/PA,1500107,0,Janssen,M,90+,160439,2
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,10-14,160439,9
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,15-19,160439,2139
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,20-24,160439,5679
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,25-29,160439,5787
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,30-34,160439,5407
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,35-39,160439,5425
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,40-44,160439,4610
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,45-49,160439,3651
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,50-54,160439,3052
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,55-59,160439,2324
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,60-64,160439,828
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,65-69,160439,871
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,70-74,160439,862
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,75-79,160439,168
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,80-84,160439,406
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,85-89,160439,171
PA,Abaetetuba/PA,1500107,1,AstraZeneca,F,90+,160439,16
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,10-14,160439,6
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,15-19,160439,2254
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,20-24,160439,5605
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,25-29,160439,5628
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,30-34,160439,5156
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,35-39,160439,5043
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,40-44,160439,4232
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,45-49,160439,3636
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,50-54,160439,3080
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,55-59,160439,2450
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,60-64,160439,817
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,65-69,160439,878
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,70-74,160439,815
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,75-79,160439,160
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,80-84,160439,270
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,85-89,160439,108
PA,Abaetetuba/PA,1500107,1,AstraZeneca,M,90+,160439,14
PA,Abaetetuba/PA,1500107,1,Janssen,F,25-29,160439,1
