state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,15-19,210171,105
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,20-24,210171,336
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,25-29,210171,299
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,30-34,210171,560
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,35-39,210171,349
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,40-44,210171,195
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,45-49,210171,84
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,50-54,210171,29
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,55-59,210171,37
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,60-64,210171,8
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,65-69,210171,4
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,70-74,210171,1
RJ,Angra dos Reis/RJ,3300100,0,Janssen,F,75-79,210171,1
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,15-19,210171,117
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,20-24,210171,374
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,25-29,210171,412
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,30-34,210171,611
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,35-39,210171,453
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,40-44,210171,285
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,45-49,210171,166
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,50-54,210171,55
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,55-59,210171,40
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,60-64,210171,12
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,65-69,210171,5
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,70-74,210171,2
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,75-79,210171,1
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,80-84,210171,1
RJ,Angra dos Reis/RJ,3300100,0,Janssen,M,85-89,210171,1
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,10-14,210171,4
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,15-19,210171,454
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,20-24,210171,1333
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,25-29,210171,2116
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,30-34,210171,3497
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,35-39,210171,3229
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,40-44,210171,3699
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,45-49,210171,3815
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,5-9,210171,1
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,50-54,210171,4494
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,55-59,210171,4446
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,60-64,210171,2697
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,65-69,210171,229
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,70-74,210171,870
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,75-79,210171,156
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,80-84,210171,124
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,85-89,210171,28
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,F,90+,210171,6
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,10-14,210171,2
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,15-19,210171,407
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,20-24,210171,1132
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,25-29,210171,1812
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,30-34,210171,3122
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,35-39,210171,2908
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,40-44,210171,3336
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,45-49,210171,3254
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,5-9,210171,2
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,50-54,210171,4168
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,55-59,210171,4199
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,60-64,210171,2726
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,65-69,210171,243
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,70-74,210171,909
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,75-79,210171,109
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,80-84,210171,81
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,85-89,210171,19
RJ,Angra dos Reis/RJ,3300100,1,AstraZeneca,M,90+,210171,8
RJ,Angra dos Reis/RJ,3300100,1,Janssen,F,25-29,210171,1
RJ,Angra dos Reis/RJ,3300100,1,Janssen,M,0-4,210171,1
RJ,Angra dos Reis/RJ,3300100,1,Janssen,M,30-34,210171,1
RJ,Angra dos Reis/RJ,3300100,1,Janssen,M,50-54,210171,1
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,0-4,210171,4
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,10-14,210171,3593
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,15-19,210171,4997
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,20-24,210171,4524
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,25-29,210171,3012
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,30-34,210171,1801
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,35-39,210171,2828
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,40-44,210171,2557
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,45-49,210171,1580
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,5-9,210171,85
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,50-54,210171,535
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,55-59,210171,368
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,60-64,210171,110
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,65-69,210171,68
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,70-74,210171,27
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,75-79,210171,11
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,80-84,210171,5
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,85-89,210171,3
RJ,Angra dos Reis/RJ,3300100,1,Pfizer/BioNTech,F,90+,210171,2
