state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
RR,Alto Alegre/RR,1400050,0,Janssen,F,15-19,15249,7
RR,Alto Alegre/RR,1400050,0,Janssen,F,20-24,15249,15
RR,Alto Alegre/RR,1400050,0,Janssen,F,25-29,15249,14
RR,Alto Alegre/RR,1400050,0,Janssen,F,30-34,15249,14
RR,Alto Alegre/RR,1400050,0,Janssen,F,35-39,15249,11
RR,Alto Alegre/RR,1400050,0,Janssen,F,40-44,15249,10
RR,Alto Alegre/RR,1400050,0,Janssen,F,45-49,15249,10
RR,Alto Alegre/RR,1400050,0,Janssen,F,50-54,15249,5
RR,Alto Alegre/RR,1400050,0,Janssen,F,55-59,15249,6
RR,Alto Alegre/RR,1400050,0,Janssen,F,60-64,15249,3
RR,Alto Alegre/RR,1400050,0,Janssen,F,70-74,15249,2
RR,Alto Alegre/RR,1400050,0,Janssen,M,15-19,15249,7
RR,Alto Alegre/RR,1400050,0,Janssen,M,20-24,15249,14
RR,Alto Alegre/RR,1400050,0,Janssen,M,25-29,15249,10
RR,Alto Alegre/RR,1400050,0,Janssen,M,30-34,15249,11
RR,Alto Alegre/RR,1400050,0,Janssen,M,35-39,15249,17
RR,Alto Alegre/RR,1400050,0,Janssen,M,40-44,15249,10
RR,Alto Alegre/RR,1400050,0,Janssen,M,45-49,15249,11
RR,Alto Alegre/RR,1400050,0,Janssen,M,50-54,15249,15
RR,Alto Alegre/RR,1400050,0,Janssen,M,55-59,15249,6
RR,Alto Alegre/RR,1400050,0,Janssen,M,60-64,15249,2
RR,Alto Alegre/RR,1400050,0,Janssen,M,75-79,15249,1
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,0-4,15249,1
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,10-14,15249,1
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,15-19,15249,136
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,20-24,15249,294
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,25-29,15249,233
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,30-34,15249,202
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,35-39,15249,241
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,40-44,15249,223
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,45-49,15249,211
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,50-54,15249,161
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,55-59,15249,163
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,60-64,15249,24
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,65-69,15249,12
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,70-74,15249,7
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,75-79,15249,2
RR,Alto Alegre/RR,1400050,1,AstraZeneca,F,80-84,15249,1
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,0-4,15249,3
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,10-14,15249,6
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,15-19,15249,142
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,20-24,15249,267
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,25-29,15249,231
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,30-34,15249,227
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,35-39,15249,280
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,40-44,15249,267
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,45-49,15249,238
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,5-9,15249,1
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,50-54,15249,217
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,55-59,15249,201
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,60-64,15249,35
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,65-69,15249,17
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,70-74,15249,8
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,75-79,15249,5
RR,Alto Alegre/RR,1400050,1,AstraZeneca,M,80-84,15249,2
RR,Alto Alegre/RR,1400050,1,Janssen,F,50-54,15249,1
RR,Alto Alegre/RR,1400050,1,Janssen,M,20-24,15249,1
RR,Alto Alegre/RR,1400050,1,Janssen,M,25-29,15249,1
RR,Alto Alegre/RR,1400050,1,Janssen,M,35-39,15249,1
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,0-4,15249,13
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,10-14,15249,492
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,15-19,15249,465
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,20-24,15249,70
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,25-29,15249,57
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,30-34,15249,50
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,35-39,15249,35
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,40-44,15249,37
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,45-49,15249,18
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,5-9,15249,8
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,50-54,15249,12
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,55-59,15249,9
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,60-64,15249,5
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,65-69,15249,3
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,70-74,15249,1
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,75-79,15249,3
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,F,90+,15249,1
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,0-4,15249,14
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,10-14,15249,504
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,15-19,15249,504
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,20-24,15249,58
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,25-29,15249,46
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,30-34,15249,44
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,35-39,15249,37
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,40-44,15249,32
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,45-49,15249,24
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,5-9,15249,11
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,50-54,15249,11
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,55-59,15249,14
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,60-64,15249,6
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,65-69,15249,4
RR,Alto Alegre/RR,1400050,1,Pfizer/BioNTech,M,70-74,15249,3
