state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
SE,Amparo de São Francisco/SE,2800100,0,Janssen,F,25-29,2386,1
SE,Amparo de São Francisco/SE,2800100,0,Janssen,F,30-34,2386,3
SE,Amparo de São Francisco/SE,2800100,0,Janssen,F,35-39,2386,7
SE,Amparo de São Francisco/SE,2800100,0,Janssen,F,40-44,2386,2
SE,Amparo de São Francisco/SE,2800100,0,Janssen,F,45-49,2386,3
SE,Amparo de São Francisco/SE,2800100,0,Janssen,M,25-29,2386,3
SE,Amparo de São Francisco/SE,2800100,0,Janssen,M,30-34,2386,4
SE,Amparo de São Francisco/SE,2800100,0,Janssen,M,35-39,2386,6
SE,Amparo de São Francisco/SE,2800100,0,Janssen,M,40-44,2386,1
SE,Amparo de São Francisco/SE,2800100,0,Janssen,M,50-54,2386,1
SE,Amparo de São Francisco/SE,2800100,0,Janssen,M,55-59,2386,1
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,15-19,2386,7
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,20-24,2386,12
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,25-29,2386,17
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,30-34,2386,51
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,35-39,2386,48
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,40-44,2386,46
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,45-49,2386,41
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,50-54,2386,52
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,55-59,2386,52
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,60-64,2386,48
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,65-69,2386,9
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,70-74,2386,2
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,75-79,2386,5
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,80-84,2386,2
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,85-89,2386,6
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,F,90+,2386,2
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,15-19,2386,5
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,20-24,2386,19
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,25-29,2386,16
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,30-34,2386,63
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,35-39,2386,48
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,40-44,2386,39
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,45-49,2386,35
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,50-54,2386,40
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,55-59,2386,47
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,60-64,2386,42
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,65-69,2386,16
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,70-74,2386,2
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,75-79,2386,6
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,80-84,2386,1
SE,Amparo de São Francisco/SE,2800100,1,AstraZeneca,M,85-89,2386,4
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,10-14,2386,47
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,15-19,2386,80
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,20-24,2386,25
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,25-29,2386,25
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,30-34,2386,8
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,35-39,2386,13
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,40-44,2386,20
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,45-49,2386,12
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,50-54,2386,8
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,55-59,2386,2
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,60-64,2386,2
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,F,85-89,2386,1
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,10-14,2386,57
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,15-19,2386,72
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,20-24,2386,31
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,25-29,2386,29
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,30-34,2386,4
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,35-39,2386,15
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,40-44,2386,23
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,45-49,2386,14
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,50-54,2386,5
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,55-59,2386,1
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,60-64,2386,2
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,80-84,2386,1
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech,M,90+,2386,1
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech - Pediátrica,F,0-4,2386,11
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech - Pediátrica,F,10-14,2386,16
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech - Pediátrica,F,5-9,2386,33
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech - Pediátrica,M,0-4,2386,13
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech - Pediátrica,M,10-14,2386,12
SE,Amparo de São Francisco/SE,2800100,1,Pfizer/BioNTech - Pediátrica,M,5-9,2386,40
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,0-4,2386,12
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,10-14,2386,19
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,15-19,2386,12
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,20-24,2386,40
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,25-29,2386,49
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,30-34,2386,40
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,35-39,2386,34
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,40-44,2386,25
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,45-49,2386,11
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,5-9,2386,45
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,50-54,2386,11
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,55-59,2386,5
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,60-64,2386,5
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,65-69,2386,22
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,70-74,2386,30
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,75-79,2386,16
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,80-84,2386,12
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,F,90+,2386,6
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,0-4,2386,12
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,10-14,2386,23
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,15-19,2386,16
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,20-24,2386,43
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,25-29,2386,40
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,30-34,2386,27
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,35-39,2386,34
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,40-44,2386,15
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,45-49,2386,31
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,5-9,2386,50
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,50-54,2386,10
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,55-59,2386,8
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,60-64,2386,2
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,65-69,2386,13
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,70-74,2386,38
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,75-79,2386,11
SE,Amparo de São Francisco/SE,2800100,1,Sinovac,M,80-84,2386,9
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,15-19,2386,6
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,20-24,2386,11
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,25-29,2386,18
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,30-34,2386,48
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,35-39,2386,45
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,40-44,2386,44
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,45-49,2386,42
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,50-54,2386,53
SE,Amparo de São Francisco/SE,2800100,2,AstraZeneca,F,55-59,2386,47
