state,city,ibgeID,dose,vaccine,sex,age,pop2021,count
TO,Abreulândia/TO,1700251,0,Janssen,F,25-29,2609,5
TO,Abreulândia/TO,1700251,0,Janssen,F,30-34,2609,13
TO,Abreulândia/TO,1700251,0,Janssen,F,35-39,2609,1
TO,Abreulândia/TO,1700251,0,Janssen,F,45-49,2609,1
TO,Abreulândia/TO,1700251,0,Janssen,M,25-29,2609,8
TO,Abreulândia/TO,1700251,0,Janssen,M,30-34,2609,7
TO,Abreulândia/TO,1700251,0,Janssen,M,35-39,2609,6
TO,Abreulândia/TO,1700251,0,Janssen,M,40-44,2609,3
TO,Abreulândia/TO,1700251,0,Janssen,M,45-49,2609,2
TO,Abreulândia/TO,1700251,0,Janssen,M,50-54,2609,1
TO,Abreulândia/TO,1700251,0,Janssen,M,55-59,2609,2
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,15-19,2609,24
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,20-24,2609,48
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,25-29,2609,38
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,30-34,2609,37
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,35-39,2609,79
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,40-44,2609,89
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,45-49,2609,71
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,50-54,2609,72
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,55-59,2609,54
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,60-64,2609,42
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,65-69,2609,18
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,70-74,2609,6
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,75-79,2609,4
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,80-84,2609,1
TO,Abreulândia/TO,1700251,1,AstraZeneca,F,85-89,2609,1
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,15-19,2609,22
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,20-24,2609,58
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,25-29,2609,47
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,30-34,2609,39
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,35-39,2609,63
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,40-44,2609,85
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,45-49,2609,81
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,50-54,2609,64
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,55-59,2609,80
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,60-64,2609,41
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,65-69,2609,26
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,70-74,2609,5
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,75-79,2609,7
TO,Abreulândia/TO,1700251,1,AstraZeneca,M,85-89,2609,1
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,10-14,2609,52
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,15-19,2609,70
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,20-24,2609,16
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,25-29,2609,13
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,30-34,2609,13
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,35-39,2609,7
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,40-44,2609,8
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,45-49,2609,5
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,50-54,2609,6
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,55-59,2609,4
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,60-64,2609,2
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,F,65-69,2609,2
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,10-14,2609,54
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,15-19,2609,93
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,20-24,2609,22
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,25-29,2609,17
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,30-34,2609,16
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,35-39,2609,16
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,40-44,2609,9
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,45-49,2609,13
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,50-54,2609,5
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,55-59,2609,6
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech,M,60-64,2609,1
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech - Pediátrica,F,0-4,2609,1
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech - Pediátrica,F,10-14,2609,7
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech - Pediátrica,F,5-9,2609,16
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech - Pediátrica,M,0-4,2609,1
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech - Pediátrica,M,10-14,2609,11
TO,Abreulândia/TO,1700251,1,Pfizer/BioNTech - Pediátrica,M,5-9,2609,21
TO,Abreulândia/TO,1700251,1,Sinovac,F,0-4,2609,2
TO,Abreulândia/TO,1700251,1,Sinovac,F,10-14,2609,11
TO,Abreulândia/TO,1700251,1,Sinovac,F,15-19,2609,7
TO,Abreulândia/TO,1700251,1,Sinovac,F,20-24,2609,8
TO,Abreulândia/TO,1700251,1,Sinovac,F,25-29,2609,9
TO,Abreulândia/TO,1700251,1,Sinovac,F,30-34,2609,11
TO,Abreulândia/TO,1700251,1,Sinovac,F,35-39,2609,2
TO,Abreulândia/TO,1700251,1,Sinovac,F,40-44,2609,9
TO,Abreulândia/TO,1700251,1,Sinovac,F,45-49,2609,1
TO,Abreulândia/TO,1700251,1,Sinovac,F,5-9,2609,13
TO,Abreulândia/TO,1700251,1,Sinovac,F,55-59,2609,1
TO,Abreulândia/TO,1700251,1,Sinovac,F,60-64,2609,25
TO,Abreulândia/TO,1700251,1,Sinovac,F,65-69,2609,22
TO,Abreulândia/TO,1700251,1,Sinovac,F,70-74,2609,19
TO,Abreulândia/TO,1700251,1,Sinovac,F,75-79,2609,9
TO,Abreulândia/TO,1700251,1,Sinovac,F,80-84,2609,11
TO,Abreulândia/TO,1700251,1,Sinovac,F,85-89,2609,7
TO,Abreulândia/TO,1700251,1,Sinovac,F,90+,2609,2
TO,Abreulândia/TO,1700251,1,Sinovac,M,0-4,2609,2
TO,Abreulândia/TO,1700251,1,Sinovac,M,10-14,2609,10
TO,Abreulândia/TO,1700251,1,Sinovac,M,15-19,2609,5
TO,Abreulândia/TO,1700251,1,Sinovac,M,20-24,2609,7
TO,Abreulândia/TO,1700251,1,Sinovac,M,25-29,2609,10
TO,Abreulândia/TO,1700251,1,Sinovac,M,30-34,2609,2
TO,Abreulândia/TO,1700251,1,Sinovac,M,35-39,2609,8
TO,Abreulândia/TO,1700251,1,Sinovac,M,40-44,2609,7
TO,Abreulândia/TO,1700251,1,Sinovac,M,45-49,2609,7
TO,Abreulândia/TO,1700251,1,Sinovac,M,5-9,2609,19
TO,Abreulândia/TO,1700251,1,Sinovac,M,50-54,2609,7
TO,Abreulândia/TO,1700251,1,Sinovac,M,55-59,2609,2
TO,Abreulândia/TO,1700251,1,Sinovac,M,60-64,2609,23
TO,Abreulândia/TO,1700251,1,Sinovac,M,65-69,2609,29
TO,Abreulândia/TO,1700251,1,Sinovac,M,70-74,2609,38
TO,Abreulândia/TO,1700251,1,Sinovac,M,75-79,2609,25
TO,Abreulândia/TO,1700251,1,Sinovac,M,80-84,2609,16
TO,Abreulândia/TO,1700251,1,Sinovac,M,85-89,2609,4
TO,Abreulândia/TO,1700251,1,Sinovac,M,90+,2609,3
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,15-19,2609,22
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,20-24,2609,39
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,25-29,2609,31
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,30-34,2609,33
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,35-39,2609,60
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,40-44,2609,84
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,45-49,2609,71
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,50-54,2609,64
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,55-59,2609,53
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,60-64,2609,40
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,65-69,2609,27
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,70-74,2609,4
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,75-79,2609,5
TO,Abreulândia/TO,1700251,2,AstraZeneca,F,80-84,2609,1
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,15-19,2609,18
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,20-24,2609,37
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,25-29,2609,36
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,30-34,2609,34
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,35-39,2609,57
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,40-44,2609,75
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,45-49,2609,73
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,50-54,2609,61
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,55-59,2609,71
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,60-64,2609,45
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,65-69,2609,25
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,70-74,2609,7
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,75-79,2609,11
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,80-84,2609,1
TO,Abreulândia/TO,1700251,2,AstraZeneca,M,85-89,2609,1
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,10-14,2609,29
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,15-19,2609,56
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,20-24,2609,16
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,25-29,2609,11
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,30-34,2609,10
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,35-39,2609,5
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,40-44,2609,6
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,45-49,2609,6
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,50-54,2609,1
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,55-59,2609,5
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,65-69,2609,2
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,F,75-79,2609,1
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,10-14,2609,36
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,15-19,2609,63
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,20-24,2609,17
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,25-29,2609,12
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,30-34,2609,10
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,35-39,2609,11
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,40-44,2609,6
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,45-49,2609,11
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,50-54,2609,3
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,55-59,2609,5
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech,M,65-69,2609,2
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech - Pediátrica,F,10-14,2609,3
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech - Pediátrica,F,5-9,2609,8
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech - Pediátrica,M,10-14,2609,4
TO,Abreulândia/TO,1700251,2,Pfizer/BioNTech - Pediátrica,M,5-9,2609,10
TO,Abreulândia/TO,1700251,2,Sinovac,F,0-4,2609,1
TO,Abreulândia/TO,1700251,2,Sinovac,F,10-14,2609,10
TO,Abreulândia/TO,1700251,2,Sinovac,F,15-19,2609,6
TO,Abreulândia/TO,1700251,2,Sinovac,F,20-24,2609,3
TO,Abreulândia/TO,1700251,2,Sinovac,F,25-29,2609,10
TO,Abreulândia/TO,1700251,2,Sinovac,F,30-34,2609,10
TO,Abreulândia/TO,1700251,2,Sinovac,F,35-39,2609,5
TO,Abreulândia/TO,1700251,2,Sinovac,F,40-44,2609,4
TO,Abreulândia/TO,1700251,2,Sinovac,F,45-49,2609,2
TO,Abreulândia/TO,1700251,2,Sinovac,F,5-9,2609,8
TO,Abreulândia/TO,1700251,2,Sinovac,F,55-59,2609,1
TO,Abreulândia/TO,1700251,2,Sinovac,F,60-64,2609,25
TO,Abreulândia/TO,1700251,2,Sinovac,F,65-69,2609,21
TO,Abreulândia/TO,1700251,2,Sinovac,F,70-74,2609,19
TO,Abreulândia/TO,1700251,2,Sinovac,F,75-79,2609,10
TO,Abreulândia/TO,1700251,2,Sinovac,F,80-84,2609,11
TO,Abreulândia/TO,1700251,2,Sinovac,F,85-89,2609,7
TO,Abreulândia/TO,1700251,2,Sinovac,F,90+,2609,2
TO,Abreulândia/TO,1700251,2,Sinovac,M,10-14,2609,6
TO,Abreulândia/TO,1700251,2,Sinovac,M,15-19,2609,2
TO,Abreulândia/TO,1700251,2,Sinovac,M,20-24,2609,8
TO,Abreulândia/TO,1700251,2,Sinovac,M,25-29,2609,8
TO,Abreulândia/TO,1700251,2,Sinovac,M,30-34,2609,3
TO,Abreulândia/TO,1700251,2,Sinovac,M,35-39,2609,7
TO,Abreulândia/TO,1700251,2,Sinovac,M,40-44,2609,6
TO,Abreulândia/TO,1700251,2,Sinovac,M,45-49,2609,6
TO,Abreulândia/TO,1700251,2,Sinovac,M,5-9,2609,15
TO,Abreulândia/TO,1700251,2,Sinovac,M,50-54,2609,5
TO,Abreulândia/TO,1700251,2,Sinovac,M,55-59,2609,1
TO,Abreulândia/TO,1700251,2,Sinovac,M,60-64,2609,23
TO,Abreulândia/TO,1700251,2,Sinovac,M,65-69,2609,28
TO,Abreulândia/TO,1700251,2,Sinovac,M,70-74,2609,36
TO,Abreulândia/TO,1700251,2,Sinovac,M,75-79,2609,23
TO,Abreulândia/TO,1700251,2,Sinovac,M,80-84,2609,15
TO,Abreulândia/TO,1700251,2,Sinovac,M,85-89,2609,3
TO,Abreulândia/TO,1700251,2,Sinovac,M,90+,2609,3
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,15-19,2609,4
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,20-24,2609,11
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,25-29,2609,6
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,30-34,2609,7
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,35-39,2609,10
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,40-44,2609,16
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,45-49,2609,12
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,50-54,2609,17
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,55-59,2609,18
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,60-64,2609,13
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,65-69,2609,9
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,70-74,2609,7
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,75-79,2609,2
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,80-84,2609,4
TO,Abreulândia/TO,1700251,3,AstraZeneca,F,85-89,2609,1
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,15-19,2609,4
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,20-24,2609,5
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,25-29,2609,7
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,30-34,2609,7
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,35-39,2609,12
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,40-44,2609,9
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,45-49,2609,15
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,50-54,2609,17
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,55-59,2609,27
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,60-64,2609,18
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,65-69,2609,22
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,70-74,2609,13
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,75-79,2609,12
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,80-84,2609,5
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,85-89,2609,1
TO,Abreulândia/TO,1700251,3,AstraZeneca,M,90+,2609,1
TO,Abreulândia/TO,1700251,3,Janssen,F,15-19,2609,7
TO,Abreulândia/TO,1700251,3,Janssen,F,20-24,2609,6
TO,Abreulândia/TO,1700251,3,Janssen,F,25-29,2609,8
TO,Abreulândia/TO,1700251,3,Janssen,F,30-34,2609,18
TO,Abreulândia/TO,1700251,3,Janssen,F,35-39,2609,7
TO,Abreulândia/TO,1700251,3,Janssen,F,40-44,2609,5
TO,Abreulândia/TO,1700251,3,Janssen,F,45-49,2609,1
TO,Abreulândia/TO,1700251,3,Janssen,F,50-54,2609,5
TO,Abreulândia/TO,1700251,3,Janssen,F,55-59,2609,4
TO,Abreulândia/TO,1700251,3,Janssen,F,60-64,2609,3
TO,Abreulândia/TO,1700251,3,Janssen,F,65-69,2609,3
TO,Abreulândia/TO,1700251,3,Janssen,F,85-89,2609,1
TO,Abreulândia/TO,1700251,3,Janssen,M,15-19,2609,2
TO,Abreulândia/TO,1700251,3,Janssen,M,20-24,2609,2
TO,Abreulândia/TO,1700251,3,Janssen,M,25-29,2609,10
